Code	Object	Category	Roles	Type	Name		Signature	Summary	Docs Date																				
2111	ServerAccounts	Module Control	n/a	Sync	InitializeModule		( )	Perform any one-time initialization for the module.																					
2112	ServerAccounts	Module Control	n/a	Sync	StartupModule		( )	Start the module.																					
2113	ServerAccounts	Module Control	n/a	Sync	ShutdownModule		( )	Shut down the module.																					
2114	ServerAccounts	Storage Control	n/a	Sync	InitializeStorage		( )	Perform any one-time initialization for the storage. Must be called by InitializeModule.																					
2115	ServerAccounts	Storage Control	n/a	Sync	StartupStorage		( )	Start the storage. Must be called by StartupModule.																					
2116	ServerAccounts	Storage Control	n/a	Sync	ShutdownStorage		( )	Shut down the storage. Must be called by ShutdownModule.																					
2120	ServerAccounts	Internal	n/a	Async	FindOrCreateUser		( UserInfo )	Finds or creates a User in the accounts storage.																					
2130	ServerAccounts	Internal	n/a	Async	NewStorageItem		( User, Prototype )	Initializes a new data item based upon the service's Item definition.																					
2131	ServerAccounts	Service Call	admin, super, user	Async	StorageCount		( User, Criteria )	Returns the number of objects that match the Criteria.																					
2132	ServerAccounts	Service Call	admin, super, user	Async	StorageFindOne		( User, Criteria )	Returns the first object that matches the Criteria.																					
2133	ServerAccounts	Service Call	admin, super	Async	StorageFindMany		( User, Criteria )	Returns all objects that match the Criteria.																					
2134	ServerAccounts	Service Call	admin, super	Async	StorageCreateOne		( User, Prototype )	Create and store a new object for the User.																					
2135	ServerAccounts	Service Call	admin, super, user	Async	StorageWriteOne		( User, Criteria, DataObject )	Update an existing object that matches the Criteria.																					
2136	ServerAccounts	Service Call	admin, super	Async	StorageDeleteOne		( User, Criteria )	Deletes the first object that matches the Criteria.																					
2137	ServerAccounts	Service Call	admin, super	Async	StorageDeleteMany		( User, Criteria )	Deletes all objects that match the Criteria.																					
																													
2200	Authentication	Object						Manages user credentials and authenticates users for the server.																					
2211	Authentication	Module Control	n/a	Sync	InitializeModule		( )	Perform any one-time initialization for the module.																					
2212	Authentication	Module Control	n/a	Sync	StartupModule		( )	Start the module.																					
2213	Authentication	Module Control	n/a	Sync	ShutdownModule		( )	Shut down the module.																					
2220	Authentication	Internal	n/a	Async	ConnectSession		( SessionToken )	Allows transports to recover and reuse sessions.																					
2230	Authentication	Service Call	*	Async	Signup		( User, UserEmail, Password, UserName )	Creates a new server account for the user.																					
2231	Authentication	Service Call	*	Async	Login		( User, UserEmail, Password )	Logs a user in and creates a new session.																					
2232	Authentication	Service Call	*	Async	Logout		( User, UserEmail )	Logs a user out and destroys the session.																					
																													
2300	ServerManagement	Object						Server management.																					
2310	ServerManagement	Module Control	n/a	Sync	InitializeModule		( )	Perform any one-time initialization for the module.																					
2311	ServerManagement	Module Control	n/a	Sync	StartupModule		( )	Start the module.																					
2312	ServerManagement	Module Control	n/a	Sync	ShutdownModule		( )	Shut down the module.																					
2320	ServerManagement	Service Call	admin, super	Async	Diagnostics		( User )	Returns diagnostic information, including cpu and memory usage.																					
2321	ServerManagement	Service Call	admin, super	Async	RestartServer		( User )	Restarts the server.																					
2322	ServerManagement	Service Call	admin, super	Async	StopServer		( User )	Stops the server.																					
2323	ServerManagement	Service View	admin, super, user	Async	Explorer		( )	A view to explore and invoke service origins.																					
																													
3000	Transports	Section																											
																													
3100	Text	Object						A command line text transport.																					
3110	Text	Module Control	n/a	Sync	InitializeModule		( )	Perform any one-time initialization for the module.																					
